"pid","country_at_reg","region_at_reg"
"WV390726","England","North West"
"XX590567","England","East of England"
"EN719640","England","South East"
"DU853864","England","West Midlands"
"CN314551","Northern Ireland","East of England"
"FP707549","England","West Midlands"
"ED761818","England","East of England"
"TD437123","England","East of England"
"JV484920","England",NA
"IC378268","England","West Midlands"
"MC777305","England","South West"
"KG122614","England","South East"
"JT548394","England","South West"
"PO212963","Scotland","London"
"QE866936","England","North East"
"ER770483","England","Yorkshire and the Humber"
"ZO756827","England","East of England"
"MQ931669","England","North West"
"HT769175","England","South East"
"FE535901","England","North East"
"JE296976","England","East Anglia"
"NM767269","Northern Ireland","East of England"
"GC846390","England","East of England"
"MD929107","England","South East"
"GC888845","England","London"
"NM332490","England","South West"
"DV206906","Wales","East of England"
"FA650763","England","North West"
"QZ387939","England","West Midlands"
"FC917470","England","West Midlands"
"LJ443806","England","East Midlands"
"QC876007","England","East Anglia"
"CL225182","Wales","West Midlands"
"MW215642","Scotland","North West"
"ZT172178","England","North East"
"HY587337","England","West Midlands"
"KY811359","England","North West"
"RN784163","England","East Anglia"
"WY540142","England","North West"
"QQ526845","England","South East"
"BN271344","England","South East"
"RV736471","England","East Midlands"
"IR743604","England","North East"
"GU975119","England","South East"
"ZZ764972","England","East of England"
"MG413075","England","North East"
"LB160838","England","East of England"
"XR994033","England","East of England"
"QG612330",NA,"West Midlands"
"KY166281","England","North West"
"GH253206","England","West Midlands"
"FJ746415","England","East Midlands"
"OX873146","Northern Ireland",NA
"QW994550","Wales","North West"
"PL963673","England","South West"
"IH947982","England","South East"
"LM758282","England","North West"
"SO936926","England","West Midlands"
"VH672323","England","London"
"MQ737619","England","South East"
"ZM768663","England","Yorkshire and the Humber"
"EF612088","England","East Anglia"
"XE915419","England","East Anglia"
"UQ602113","England","East Midlands"
"ZR924704","England","North West"
"YJ660940","England","North East"
"XP456134","England","East Anglia"
"VN738567","England","South East"
"JM487294","England","North West"
"AL422618","Northern Ireland","South East"
"FZ518274","England","North East"
"KM910828","England","South East"
"SZ717027","England",NA
"JW580911","England","South East"
"CG413373","England","Yorkshire and the Humber"
"PA178283","England","South East"
"UO301857","England","South East"
"OJ329475","England","North East"
"QW556259","England","London"
"QH823721","England","Yorkshire and the Humber"
"ZO665476","Wales","London"
"ST547357","England","London"
"TS916481","England","Yorkshire and the Humber"
"GC699830","England","West Midlands"
"JF582464","England","East of England"
"HA182580","England","London"
"FY577757","England","North East"
"ZZ550527","England","East of England"
"CL511870","England","East Anglia"
"AI255627","England","East of England"
"US239551","England","London"
"TL801090","England","South East"
"NE338701","England","London"
"YC892210","England",NA
"IS368166","England","North West"
"GO766811","Wales","East Anglia"
"ZB831380","Wales","East Midlands"
"CS749357","England","South East"
"SW695078","Wales","North East"
"TO133946","England","North West"
"FL658398","England","Yorkshire and the Humber"
"DL489796","England","South East"
"KF643129","England","East Anglia"
"XX318401","England","South West"
"NF841241","England","North West"
"BM882600","England","Yorkshire and the Humber"
"QJ343579","England",NA
"UA242776","England","East of England"
"VR145561","England","South East"
"NG315145","England","South East"
"RI434116","England","North East"
"HP944615","England","London"
"JT718824","Wales","East Midlands"
"MH384328","Scotland","West Midlands"
"QW923307","England","West Midlands"
"SH417155","Scotland","South East"
"YM759317","England","South East"
"EC537890","England","London"
"GZ988744","England","East of England"
"WA229577","Scotland","Yorkshire and the Humber"
"BF753340","England","South East"
"CJ490365",NA,"West Midlands"
"DL691682","Northern Ireland","North West"
"AP283757","England","London"
"QE356302","England","East of England"
"XH501728","England","South East"
"JL142589","England","West Midlands"
"BS195366","England",NA
"HY246888","Wales","South West"
"KP918854","Wales","London"
"VW872129","England","North West"
"KF523123","England","East Anglia"
"DH218295","England","East Anglia"
