entity,name,type,primary_key_type,coding_name,is_sparse_coding,is_multi_select,referenced_entity_field,relationship,folder_path,title,units,description
nhse_eng_primcare_meds,BSAPrescriptionID,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,BSAPrescriptionID,,NHS Business Services Authority identification number for a prescription (can be used to identify an item dispensed when used with 'prescription item identification number')
nhse_eng_primcare_meds,ChargeStatus,string,,ChargeStatus_meds_coding,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,ChargeStatus,,Charging or exemption status
nhse_eng_primcare_meds,CostCentreODSCode_OFH,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,CostCentreODSCode_OFH,,"Code for the organisation that issued the prescription, as taken from the Organisation Data Service (Pseudonymised by OFH)"
nhse_eng_primcare_meds,CostCentreSubType,string,,CostCentreSubType_meds_coding,yes,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,CostCentreSubType,,Sub-type of prescribing organisation
nhse_eng_primcare_meds,CostCentreType,integer,,CostCentreType_meds_coding,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,CostCentreType,,Type of prescribing organisation
nhse_eng_primcare_meds,DispensedPharmacyType,integer,,DispensedPharmacyType_meds_coding,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,DispensedPharmacyType,,Type of dispenser
nhse_eng_primcare_meds,ItemActualCost,float,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,ItemActualCost,,Actual cost paid for the dispensed medicine (national average discount for the month+out of pocket+consumables+container allowance)
nhse_eng_primcare_meds,ItemID,integer,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,ItemID,,NHS Business Services Authority identification number for an item on a prescription (can be used to identify an item dispensed when used with 'prescription identification number')
nhse_eng_primcare_meds,ItemNIC,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,ItemNIC,,The Net Ingredient Cost of the medicine
nhse_eng_primcare_meds,MaternityExemptionFlag,integer,,MaternityExemptionFlag_meds_coding,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,MaternityExemptionFlag,,"Indicator of whether or not the patient is pregnant, derived from maternity exemption. Data is limited because maternity exemption does not start at the beginning of pregnancy and it continues for 12 months after due date or birth"
nhse_eng_primcare_meds,OutOfHoursIndicator,integer,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,OutOfHoursIndicator,,Whether the prescription was Out of Hours
nhse_eng_primcare_meds,PID,string,,,,,participant:PID,many_to_one,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PID,,Participant ID
nhse_eng_primcare_meds,PaidBNFCode,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidBNFCode,,"BNF code of the medicines dispensed, as reimbursed by NHSBSA"
nhse_eng_primcare_meds,PaidBNFName,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidBNFName,,"BNF name of the medicine dispensed, as reimbursed by NHSBSA"
nhse_eng_primcare_meds,PaidDissallowedIndicator,string,,PaidDissallowedIndicator_meds_coding,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidDissallowedIndicator,,Indicator showing whether or not the item was disallowed by NHSBSA i.e. dispensed but not reimbursed
nhse_eng_primcare_meds,PaidDrugStrength,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidDrugStrength,,"Strength of the medicine dispensed, as reimbursed by NHSBSA"
nhse_eng_primcare_meds,PaidFlavourIndicator,string,,PaidFlavourIndicator_meds_coding,yes,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidFlavourIndicator,,"Flavour of medicine dispensed, as reimbursed by NHSBSA"
nhse_eng_primcare_meds,PaidFormulation,string,,PaidFormulation_meds_coding,yes,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidFormulation,,"Formulation of the medicine dispensed, as reimbursed by NHSBSA"
nhse_eng_primcare_meds,PaidIndicator,string,,PaidIndicator_meds_coding,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidIndicator,,Valid NHS prescription that NHS BSA reimbursed
nhse_eng_primcare_meds,PaidQuantity,integer,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidQuantity,,"Quantity of medicine dispensed, as reimbursed by NHSABSA"
nhse_eng_primcare_meds,PaidSupplierName,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidSupplierName,,"Name of the supplier of the medicine or appliance dispensed, as reimbursed by NHSBSA"
nhse_eng_primcare_meds,PaiddmdCode,string,,SNOMED_PRIMCARE_MEDS_coding,yes,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaiddmdCode,,"dm+d code of the medicine or appliance dispensed, as reimbursed by NHSBSA"
nhse_eng_primcare_meds,PrescribedBNFCode,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PrescribedBNFCode,,British National Formulary (BNF) code of the medicine prescribed
nhse_eng_primcare_meds,PrescribedBNFName,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PrescribedBNFName,,The name of the medicine/device
nhse_eng_primcare_meds,PrescribedFormulation,string,,PrescribedFormulation_meds_coding,yes,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PrescribedFormulation,,Formulation of the medicine prescribed (see formulations reference)
nhse_eng_primcare_meds,PrescribedMedicineStrength,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PrescribedMedicineStrength,,The strength of the medicine prescribed
nhse_eng_primcare_meds,PrescribedQuantity,integer,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PrescribedQuantity,,Quantity of medicine prescribed
nhse_eng_primcare_meds,PrescribeddmdCode,string,,SNOMED_PRIMCARE_MEDS_coding,yes,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PrescribeddmdCode,,Dictionary of medicines and devices (dm+d) code of the medicine or appliance prescribed
nhse_eng_primcare_meds,PrescriberType,integer,,PrescriberType_meds_coding,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PrescriberType,,Type of prescriber
nhse_eng_primcare_meds,PrivatePrescriptionIndicator,integer,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PrivatePrescriptionIndicator,,Whether the prescription was a private prescription
nhse_eng_primcare_meds,ProcessedPeriod,integer,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,ProcessedPeriod,,The month during which data is submitted by pharmacists to NHSBSA
nhse_eng_primcare_meds,ProcessingPeriodDate,date,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,ProcessingPeriodDate,,"Month and year prescriptions were submitted to NHS Business Services Authority for processing, displayed as a first of the month date in the format 2018-07-01"
