file,coluymn,values
06_generate_nhse_eng_outpat.R,admincat,"""01 = NHS patient including overseas visitors charged under the National Health Service (Overseas Visitors Hospital Charging Regulations)""*, ""02 = Private patient one who uses accommodation or services authorised under the Nationa Health Service Act 2006"", ""03 = Amenity patient one who pays for the use of a single room or small ward in accordance with the National Health Services Act 2006"", ""04 = Category II patient one for whom work is undertaken by hospital medical or dental staff within category II as defined in paragraph 37 of the Terms and Conditions of Service of Hospital Medical and Dental Staff"", ""98 = Not applicable"", ""99 = Not known (to 2022-23) Administrative Category Code not known (V6.3 2022-23 onwards)"
06_generate_nhse_eng_outpat.R,attended,"""2 = Appointment cancelled by or on behalf of the patient"", ""3 = Did not attend - no advance warning given"", ""4 = Appointment cancelled or postponder by the Health Care Provider"", ""5 = Seen having attended on time or if late before the relevant care professional was ready to see the patient""*, ""6 = Arrived late after the relevant care professional was ready to see the patient but was seen"", ""7 = Did not attend - patient arrived late and could not be seen"", ""9 = Not known"""
06_generate_nhse_eng_outpat.R,attendkey,random numbers 11-19 digits long
06_generate_nhse_eng_outpat.R,firstatt,"""1 = First attendance face to face""*, ""2 = Follow-up attendance face to face""*, ""3 = First telephone or telemedicine consultation"", ""4 = Follow-up telephone or telemedicine consultation"", ""9 = Not known (prior to 2008/09)"", ""X = Not known (from 2008/09)"""
06_generate_nhse_eng_outpat.R,imd04_decile,"""Least deprived 10%"", ""More deprived 30-40%"", ""Most deprived ""40-50%"", ""LESS DEPRIVED 10-20%"", ""Less deprived 10-20%"""
06_generate_nhse_eng_outpat.R,mainspef,refer to mainspef_possible_values (960 is most common value ~ 15%)
06_generate_nhse_eng_outpat.R,outcome,"""1 = PATIENT discharged from the care of the CARE PROFESSIONAL without Personalised Out-Patient Follow Up (From 2022-23 onwards) or Discharged from consultant's care (last attendance) (to 202-23)"", ""2 = PATIENT given a Timed Out-Patient Follow Up Appointment while at the out-patient attendance without Personalised Out-Patient Follow Up (From 2022-23 onwards) or Another appointment given (Until 2022-23)"""
06_generate_nhse_eng_outpat.R,priority,"""1 = Routine""*, ""2 = Urgent"", ""3 = Two week wait"", ""9 = Not known"""
06_generate_nhse_eng_outpat.R,procode3_ofh,random numbers 6 digits long
06_generate_nhse_eng_outpat.R,protype,"""CARETRUST = Care trust"", ""CCG = Clinical Commission Group"",""FOUNDATION = NHS foundation trust""*, ""IND = Independent sector provider"", ""INDSITE = Independent sector provider site"", ""INDSITETC = Treatment centre at independent sector provider site"", ""OTHERPROV = Other provider organisation"", "" PCT = Primary care trust"", ""TRUST = NHS trust""*, ""TRUSTSITETC = Treatment centre at NHS trust site"""
06_generate_nhse_eng_outpat.R,refsourc,"""01 = Following an emergency admission (initiated by consultant responsible for the outpatient attendance)"", ""02 = Following a domiciliary visit (initiated by the consultant responsible for the outpatient attendance)"", ""03 = Referral from a general medical practitioner (Not initiated by the consultant responsible for the outpatient attendance)""*, "" 04 = Referral from an accident and emergency department (Not initiated by the consultant responsible for the outpatient attendance)"", "" 05 = Referral from a consultant other than in accident and emergency department (Not initiated by the consultant responsible for the outpatient attendance)""*, ""06 = Self Referral  (Not initiated by the consultant responsible for the outpatient attendance)"", ""07 = Referral from prosthetist  (Not initiated by the consultant responsible for the outpatient attendance)"", ""08 = Other source of Referral (Not initiated by the consultant responsible for the outpatient attendance)"", ""10 = Following an Accident and Emergency Attendance (Initiated by the consultant responsible for the outpatient attendance)"", ""11 = Other (Initiated by the consultant responsible for the outpatient attendance)"", "" 12 = Referral from GP with special interest (Not initiated by the consultant responsible for the outpatient attendance)"", ""13 = Referral from a specialist nurse (secondary care) (Not initiated by the consultant responsible for the outpatient attendance)"", ""14 = Referral from an allied health professional (Not initiated by the consultant responsible for the outpatient attendance)"", ""15 = Referral from an optometrist (Not initiated by the consultant responsible for the outpatient attendance)"", ""16 = Referral from a orthoptist (Not initiated by the consultant responsible for the outpatient attendance)"", ""17 = Referral from a national screening programme (Not initiated by the consultant responsible for the outpatient attendance)"", ""92 = General dental practitioner (Not initiated by the consultant responsible for the outpatient attendance)"""
06_generate_nhse_eng_outpat.R,rttperend,date between 2008-01-01 to 2035-12-31
06_generate_nhse_eng_outpat.R,rttperstart,date between 2008-01-01 to 2035-12-31
