"pid","country_at_reg","region_at_reg"
"SK665350","England","South West"
"KY501058","England","South East"
"KR684164","Wales","West Midlands"
"LT302048","England","North East"
"TR912286","England","East of England"
"EB426912","England","East of England"
"UT746363","Northern Ireland","North East"
"QV495633","England","Yorkshire and the Humber"
"YK171449","England","Yorkshire and the Humber"
"YJ383271","England","London"
"VW603611","Scotland","Yorkshire and the Humber"
"HO604546","England","East Midlands"
"ZD574364","England","London"
"NC453552","England","South East"
"PT686371","Northern Ireland","North East"
"WI158478","England","Yorkshire and the Humber"
"AS442520","England","North West"
"VS606845","England","Yorkshire and the Humber"
"QH165061","England","South West"
"EG380263","England","West Midlands"
"GR538547","England","Yorkshire and the Humber"
"JI677804","England","North West"
"KB958911","England","London"
"TA293555","England","South West"
"JD276918","England","South West"
"UZ885835","England","South West"
"QX631862","Scotland","South West"
"EF977828","England","London"
"FO743887","England","East of England"
"IF155155","Wales","North West"
"BC818189","England","East of England"
"WX580347","England","North West"
"DW286173","England",NA
"QG435253","England","West Midlands"
"ON846949","Northern Ireland","Yorkshire and the Humber"
"JW350732","England","North East"
"VE386673","England","East of England"
"SH216779","England","North East"
"BQ248042","England","East of England"
"VR988777","Wales",NA
"YY639247","England","South West"
"LX665054","England","South West"
"GJ184238","England","North East"
"JO554434","Scotland","North East"
"IA876134","England","South West"
"OB593248","England","South West"
"VC539567","England","North West"
"CN505986","England","East Anglia"
"CH578397","England","East of England"
"WJ349110","Wales","West Midlands"
"KV537714","England","South East"
"NA642654",NA,"North East"
"ZA195255","England","East Midlands"
"UB493159","England","East of England"
"PN380747","Wales",NA
"EW941885","England","North East"
"MF459936","England","South East"
"SW971147","Wales","Yorkshire and the Humber"
"WH501008","Wales","South West"
"KV274087","England","South East"
"PG334114","Scotland","South East"
"TR346858","England","South East"
"RH235180","Wales","East of England"
"RQ935950","England","South East"
"EZ795106",NA,"North West"
"BB617160","England","East Anglia"
"GB719419","England","North East"
"PY163627","England","South West"
"JX282038","England","East of England"
"DG893051","England","South East"
"MU741690","England","East Midlands"
"NU488825","England","South West"
"JG969978","England","East of England"
"VV412306","Northern Ireland","Yorkshire and the Humber"
"FW938422","England","North East"
"VQ900977","England","North West"
"KR733461","England","West Midlands"
"ZM829161","England","London"
"AL475171","England","West Midlands"
"YH885144","England","South East"
"EM213706","England","North East"
"ZN700993","England","East Midlands"
"KY484985","England","East Midlands"
"RC252716","England","East of England"
"TJ924234","Scotland","West Midlands"
"WW889232","Scotland","North West"
"BN509415","England","East of England"
"EZ818058",NA,"South West"
"XD340092","England","London"
"BI766441","England","South West"
"XK376671","Wales","London"
"KV843353","England","East of England"
"MI692119","England","North West"
"ZP150571","England","East of England"
"CL830257","Scotland","West Midlands"
"JP468600","England","North East"
"NQ190575","England","North West"
"CN444371","England","South East"
"FT762355","England","London"
"FG434739","England","North East"
"BE768508","Wales","South West"
"DO793150","England","North East"
"ZP772427","Scotland","East of England"
"EJ132889","Scotland","North East"
"PR985952","England",NA
"XM923969","England","North West"
"TG513149","England","West Midlands"
"AS823420","England","South East"
"PV704826","England","North West"
"IA531650","England","South East"
"MV285622","England","South East"
"ZW553860","England","South East"
"YT538190","England","East Anglia"
"EC981261","England","North East"
"AI235376","England","London"
"LG939166","England","North West"
"UW251550","England","North West"
"OJ642761","England","London"
"ZV843161","England","South West"
"YY123065","England","London"
"FO486367",NA,"West Midlands"
"EG292492","England","South West"
"NS822702","Scotland","Yorkshire and the Humber"
"PN920441","England","South East"
"NQ596175","England","North East"
"QO110178","England","East Midlands"
"JI125139","Wales","North West"
"VV683050","England","South West"
"UK411020","England","South East"
"MQ530250","England","London"
"FB101371","England","South West"
"CF389131","England","North West"
"ZO413248","England","North West"
"QE278508","England","East Midlands"
"VS672073","England","West Midlands"
"WT219620","Wales","West Midlands"
"IB375300","England","East Anglia"
"XW992782","Wales","East Anglia"
"ZR650922","England","Yorkshire and the Humber"
"TU828040",NA,"North East"
"AH477298","England","South East"
"MK929811","England","North West"
"GC412049","Wales","Yorkshire and the Humber"
"FX220345","England","South West"
"QX890394","England","East of England"
"NU635985","England","North West"
"RY143695","England","London"
"JO174370","Wales","London"
"QP717407","England","Yorkshire and the Humber"
"FJ617009","Northern Ireland","East Midlands"
"BB765837","England","North West"
"JM974241","England","East Midlands"
"HC746233","England","North East"
"JT636977","Scotland","West Midlands"
"XE985103","England","North West"
"YL158425","England","East Anglia"
"BN254097","England","South West"
"UU328481","England","East Anglia"
"JO368954","England","North West"
"SE829921","England","East Midlands"
"IS421338","England","London"
"FB346411","Northern Ireland","Yorkshire and the Humber"
"BS420952","England","South West"
"OX558454","England","North West"
"BN623165","England","East Anglia"
"OA883020","England","East of England"
"QE206237","England","South East"
"OL410267","England","London"
"XP859951","England","South East"
"MD850794","England","East of England"
"YD986888","Scotland","South East"
"TE677660","England","South West"
"JJ921465","England","South West"
"BQ372064","England","North East"
"FG112452","England","West Midlands"
"DB100526","England","South East"
"CG930553",NA,"East of England"
"PX428618","Wales","West Midlands"
"TU890234","England",NA
"TX780235","England","West Midlands"
"KZ831859","Wales","South West"
"JQ170918","England","East Anglia"
"JY495405","England","East Midlands"
"IP374575","England","South East"
"TC538018","England","Yorkshire and the Humber"
"XM698214","England","East of England"
"TC995179","England","South West"
"PS759396","Wales","East of England"
"BQ562324","England","East Midlands"
"CH717439","England","East of England"
"DN914145","England","East of England"
"UT778017","Wales","East of England"
"FY572314","England","London"
"GZ743483","England","East of England"
"KT952382","England","East of England"
"SH964390","England","London"
"ET574202","England","London"
"HK585575","England","East of England"
"OZ972878","England","Yorkshire and the Humber"
"TP497643","England","North West"
"BN688707","Scotland","East Anglia"
"YM173115","England","North East"
"JT931173","Scotland","Yorkshire and the Humber"
"CY535744","Northern Ireland","South West"
"YC891808","England","East of England"
"FT883401","England","West Midlands"
"BR463666","Scotland","South West"
"ZT980794","England","London"
"OP232413","England","East of England"
"PX835671","Wales","Yorkshire and the Humber"
"GT757124","England","West Midlands"
"NT470739","England",NA
"AB560686","England","East of England"
"VI487745","England","East of England"
"GM137682","England","North East"
"FX724997","Scotland","East Midlands"
"KW882178","England","London"
"GS121180","England","London"
"YV208955","England","London"
"IE504235","England","West Midlands"
"WZ743423","Scotland","South East"
"UV721641","England","South West"
"AG929722",NA,"Yorkshire and the Humber"
"JR873681","England","London"
"DW406533","Wales","London"
"EH832363","England","West Midlands"
"VS957252","Wales","South West"
"IZ874380","England","West Midlands"
"NT624810","England","North East"
"FZ759872","Wales","East Midlands"
"FA144015","England","East Anglia"
"TG127998","Northern Ireland","South East"
"TW180451","England","North West"
"IM742468","Scotland","Yorkshire and the Humber"
"QW742748","England","London"
"RW293935","England","East Anglia"
"YV473799","England",NA
"ZX417283","Northern Ireland","North West"
"RD507947","England","East Midlands"
"XJ282070","England","London"
"KH939691","Scotland","North East"
"WA185780","England","North West"
"UJ245216","Scotland","London"
"YF898634","Northern Ireland","South East"
"UE654102","Wales","North West"
"NJ772038","England","South East"
"LL454796","England","East Anglia"
"BT516485","Northern Ireland","North West"
"FA978714","England","London"
"RS180014","England","East Midlands"
"YZ734353","Scotland","South West"
"DS304769","England","North East"
"UO849569","England","South West"
"VT136393","England","East Midlands"
"LR238498","England","South West"
"QC607649","Wales","London"
"EZ852339","England","North East"
"XT371785","England","East Anglia"
"UU722270","England","North West"
"KH740508","Wales","West Midlands"
"LC816509","Wales","South West"
"SV126715","England","South West"
"AE419899","England","East of England"
"OB184148","England","North West"
"VI261281","Wales","South West"
"PM835840","Wales","East Midlands"
"QL868174","Scotland","North West"
"UE688868","England","East of England"
"QH725853","Wales","East Midlands"
"HI253058","England","London"
"UY231458","England","London"
"UI146418","England","South East"
"RR832558","England","North West"
"TK101501","Wales","North East"
"AN465306","England","East Midlands"
"NX794169","England","South East"
"QT700882","England","West Midlands"
"FK992447","England","Yorkshire and the Humber"
"UJ612993","England","North East"
"ZV568202","England","South West"
"NI350454","Wales","North West"
"GO291771","England","East Midlands"
"NC809397","England","South West"
"AA814176","England","West Midlands"
"OS264972","England","South West"
"DO395220","England","South West"
"YL440044","Wales","West Midlands"
"SM102701","England","London"
"OX661845","Northern Ireland",NA
"NL756670","England","East Midlands"
"KF627333","England","North East"
"HH882897","England","Yorkshire and the Humber"
"WF971246","England","East Anglia"
"CA943492","Northern Ireland","South East"
"JN260059","England","South West"
"JP430118","England","North West"
"MZ644988","England","East Midlands"
"UX686690","Wales","South East"
"TC334947","England","South West"
"HG267657","England","London"
"ZQ617488","England","London"
"GF525374","England","East of England"
"KH538716","England","North East"
"JB949571","England","East of England"
"NK611463","England","London"
"RW104537","England","East Midlands"
"LC356639","England","East Midlands"
"WR190945","Northern Ireland","North West"
"KR173730","Wales","London"
"VD418807","England","London"
"NW753178","England","East Anglia"
"PQ414499","England","East of England"
"MA925285","England","West Midlands"
"WI491469","England","East of England"
"DL779582","England","West Midlands"
"WA169346","England","North East"
"AF464123","England","South West"
"ZM284792","England","South West"
"JQ417586","England","East of England"
"BC998519","England","East of England"
"IE664019","England","East of England"
"VZ110622","Wales","East of England"
"RP101436","England","East of England"
"QY696107","England","South West"
"TU319353","England","South East"
"JX933908","Scotland","London"
"WN503093","England","South East"
"BR163994","Wales","North West"
"KL790691","England","East Anglia"
"NR417264","Scotland","North West"
"WC906283","Northern Ireland","East of England"
"FM468689","England","London"
"KE797120","England","East Midlands"
"HK611801","England","London"
"VL541962","England","South East"
"XF139074","England","North West"
"MQ947043","England","West Midlands"
"SZ132725","England","London"
"PS516994","England","East of England"
"YR939773","England","North West"
"ZT901130","Scotland","East Anglia"
"BF146830","England","South East"
"LA139237","England","South East"
"SX611030","England","North East"
"PP427143","Scotland","South East"
"MY665356","England","East of England"
"CE748481","England","East of England"
"JC312930","Wales","East Midlands"
"NQ795521","England","London"
"SA610757","England","South West"
"CK662625","England","West Midlands"
"RQ237540","England","East of England"
"GJ944698","Wales","South West"
"MG166075","England","East of England"
"MY462538","Wales","North West"
"XR267972","England","South West"
"MB684843","England","East of England"
"RF151683","England","East Midlands"
"RJ424417","Wales","Yorkshire and the Humber"
"SP195595","England","South West"
"SB863174","England","North West"
"KC451606","Scotland","North East"
"KI997672","Scotland","South West"
"JS817737","England","South East"
"LG810849","England","East Midlands"
"DY697695","England","Yorkshire and the Humber"
"XL500633","England","North West"
"QT316596","England","South East"
"NO135066","England","West Midlands"
"XQ314977","England","Yorkshire and the Humber"
"ED753831","England","East Anglia"
"OA537306","England","London"
"YW260058","Wales","East Midlands"
"EV534533","England","North West"
"CG268587","England","West Midlands"
"VH275020","England","South East"
"LR818204","England","East Midlands"
"LB830506","England","North West"
"CJ882977","Wales","West Midlands"
"HQ873476","England","East Anglia"
"PM299755","England","East of England"
"YU698554","England","East Anglia"
"MK332856","England","South West"
"SP500929","England","South East"
"ES770533","Scotland","South West"
"IO701459","England","South East"
"NV164875","England","South East"
"DR826414","England","South East"
"RC493073","England",NA
"FT387525","England","South East"
"CG898952","England","North West"
"FR624055","England",NA
"VQ193099","England","South East"
"TI163939","England","West Midlands"
"BL193898","England","North East"
"XA961641","England","North West"
"RB154806","Northern Ireland","West Midlands"
"AE827338","England","West Midlands"
"RQ986772","Wales","North West"
"VY276331","England",NA
"ML312704","England","Yorkshire and the Humber"
"MA905629","England","South West"
"YO811053","England","West Midlands"
"LY532862","England","East Anglia"
"XX426588","Northern Ireland","Yorkshire and the Humber"
"RJ997737","England","South East"
"CK429501","Wales","London"
"WR479456","England","London"
"PZ696569","England","Yorkshire and the Humber"
"NA402511","England","West Midlands"
"UM992335","Wales","West Midlands"
"RU704705","England","East Midlands"
"WA425384","England","North East"
"VW240433","England","East Midlands"
"QQ514948","England","South West"
"NQ277549","England","South West"
"SO406444","England",NA
"JL548515","England","East of England"
"CC496324","England","North West"
"DB744808","Scotland","West Midlands"
