"pid","edu_comp_age_1_1","edu_comp_age_2_1","edu_qual_1_m","housing_income_1_1","work_distance_1_1","work_manual_labour_1_1","work_nights_1_1","work_shifts_1_1","work_status_1_m","work_status_2_m","work_transport_1_m","work_walk_stand_1_1","work_wk_hrs_1_1","work_wk_travel_1_1","work_yrs_1_1"
"QQ318833","Prefer not to answer","Never went to school","NVQ or HND or HNC or equivalent","£18,000 to £30,999","12","Never/rarely","Usually","Usually",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","1.7","23","21"
"EU534928","Prefer not to answer","Do not know","None of the above","£31,000 to £51,999","10",NA,NA,NA,NA,"Retired",NA,NA,"19.4","94","59"
"AL751970","Never went to school","Do not know","College or University degree","£18,000 to £30,999","60",NA,NA,NA,NA,"Unemployed",NA,NA,"19.3","46","0"
"YU289553","Do not know","Still in full time education","NVQ or HND or HNC or equivalent","£31,000 to £51,999","38",NA,NA,NA,NA,"Retired",NA,NA,"1.5","79","54"
"JF693102","Never went to school","Do not know","O levels/GCSEs or equivalent","£52,000 to £100,000","87","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Prefer not to answer","Always","14.8","52","77"
"DO947115","Still in full time education","Still in full time education","CSEs or equivalent","£18,000 to £30,999","2","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Always","19.2","24","32"
"RI247123","Never went to school","Still in full time education","Prefer not to answer","£52,000 to £100,000","29","Never/rarely",NA,"Prefer not to answer",NA,"In paid employment or self-employed","Walk","Never/rarely","20.1","29","13"
"ZJ895189","Do not know","Never went to school","Prefer not to answer","£31,000 to £51,999","7","Usually","Sometimes","Sometimes",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","16.9","65","36"
"QX726081","Still in full time education","Never went to school","None of the above","Greater than £100,000","10","Sometimes","Never/rarely","Usually",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","1.2","45","41"
"OR621856","Prefer not to answer","Still in full time education","Prefer not to answer","£18,000 to £30,999","87","Never/rarely","Prefer not to answer","Sometimes",NA,"In paid employment or self-employed","Car or motor vehicle","Usually","3.9","7","4"
"XW951462","Never went to school","Do not know","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","Less than £18,000","60",NA,NA,NA,NA,"Retired",NA,NA,"16.8","21","13"
"GG764586","Do not know","Do not know","O levels/GCSEs or equivalent","Less than £18,000","25","Never/rarely",NA,"Never/rarely",NA,"Looking after home and/or family","Car or motor vehicle","Usually","17.4","1","71"
"DN931422","Still in full time education","Never went to school","CSEs or equivalent","Less than £18,000","30",NA,NA,NA,NA,"Retired",NA,NA,"3.5","21","4"
"YL422273","Prefer not to answer","Never went to school","College or University degree","£52,000 to £100,000","63","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed","Walk","Sometimes","14.6","69","60"
"EU979076","Do not know","Prefer not to answer","Prefer not to answer","£52,000 to £100,000","95",NA,NA,NA,NA,"Unemployed",NA,NA,"23.3","30","9"
"NS147515","Do not know","Still in full time education","Other professional qualifications e.g., nursing, teaching","Less than £18,000","76",NA,NA,NA,NA,"None of the above",NA,NA,"14.0","10","46"
"TJ225754","Never went to school","Still in full time education","CSEs or equivalent","£31,000 to £51,999","100","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Walk","Never/rarely","19.2","11","64"
"ZY477104","Never went to school","Still in full time education","NVQ or HND or HNC or equivalent","Less than £18,000","56",NA,NA,NA,NA,"Retired",NA,NA,"6.7","80","6"
"RY206534","Still in full time education","Prefer not to answer","NVQ or HND or HNC or equivalent","£31,000 to £51,999","27","Sometimes","Never/rarely","Sometimes",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","0.3","18","40"
"OE911425","Still in full time education","Prefer not to answer","O levels/GCSEs or equivalent","£18,000 to £30,999","91",NA,NA,NA,NA,"Unemployed",NA,NA,"20.2","76","75"
"CB866173","Prefer not to answer","Never went to school","NVQ or HND or HNC or equivalent","Less than £18,000","88","Never/rarely",NA,"Never/rarely",NA,"Looking after home and/or family","Car or motor vehicle","Sometimes","6.2","40","1"
"IC250163","Do not know","Still in full time education","CSEs or equivalent","£52,000 to £100,000","52","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Bus or coach","Do not know","4.3","12","58"
"YB715384","Still in full time education","Do not know","None of the above","£18,000 to £30,999","48",NA,NA,NA,NA,"Full or part-time student",NA,NA,"5.6","78","53"
"DN615347","Never went to school","Do not know","Prefer not to answer","£52,000 to £100,000","28","Never/rarely","Prefer not to answer","Usually",NA,"Doing unpaid or voluntary work","Work from home","Sometimes","21.2","74","48"
"EP864854","Prefer not to answer","Do not know","Prefer not to answer","£31,000 to £51,999","27","Never/rarely","Sometimes","Sometimes",NA,"In paid employment or self-employed","Train","Always","12.8","91","6"
"MD990976","Still in full time education","Prefer not to answer","Prefer not to answer","£31,000 to £51,999","40",NA,NA,NA,NA,"Full or part-time student",NA,NA,"18.5","24","8"
"EX584909","Never went to school","Do not know","CSEs or equivalent","Greater than £100,000","80","Sometimes",NA,"Do not know",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","14.6","81","32"
"TU416151","Prefer not to answer","Still in full time education","NVQ or HND or HNC or equivalent","Less than £18,000","92","Never/rarely","Usually","Usually",NA,"In paid employment or self-employed","Car or motor vehicle","Usually","20.5","34","8"
"BX225111","Never went to school","Still in full time education","Other professional qualifications e.g., nursing, teaching","Less than £18,000","39","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Work from home","Never/rarely","6.2","36","25"
"HF178141","Do not know","Never went to school","NVQ or HND or HNC or equivalent","£18,000 to £30,999","77",NA,NA,NA,NA,"Unemployed",NA,NA,"18.5","62","45"
"CT396361","Prefer not to answer","Prefer not to answer","Prefer not to answer","£52,000 to £100,000","58","Never/rarely",NA,"Never/rarely",NA,"Doing unpaid or voluntary work","Car or motor vehicle","Sometimes","7.0","68","24"
"ZU854946","Never went to school","Still in full time education","NVQ or HND or HNC or equivalent","£52,000 to £100,000","36","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","17.8","78","55"
"AT708273","Prefer not to answer","Never went to school","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","Do not know","98","Never/rarely","Sometimes","Sometimes",NA,"Unemployed; Looking after home and/or family","Train","Sometimes","3.9","100","67"
"JK175953","Prefer not to answer","Still in full time education","Other professional qualifications e.g., nursing, teaching","£31,000 to £51,999","16","Always",NA,"Never/rarely",NA,"In paid employment or self-employed","Cycle","Never/rarely","14.9","75","71"
"XZ607506","Prefer not to answer","Never went to school","Prefer not to answer","£18,000 to £30,999","83",NA,NA,NA,NA,"Retired",NA,NA,"7.8","42","56"
"KA619709","Do not know","Still in full time education","NVQ or HND or HNC or equivalent","£18,000 to £30,999","55",NA,NA,NA,NA,"Unemployed",NA,NA,"3.2","62","70"
"ON298450","Never went to school","Do not know","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£31,000 to £51,999","47","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","19.7","14","47"
"VA181343","Do not know","Never went to school","NVQ or HND or HNC or equivalent","Less than £18,000","82","Never/rarely","Never/rarely","Usually",NA,"In paid employment or self-employed","Work from home","Never/rarely","23.4","40","13"
"ZD386899","Prefer not to answer","Still in full time education","O levels/GCSEs or equivalent","£18,000 to £30,999","69",NA,NA,NA,NA,"Retired",NA,NA,"17.4","57","36"
"HM901273","Still in full time education","Never went to school","NVQ or HND or HNC or equivalent","£31,000 to £51,999","1",NA,NA,NA,NA,"Unable to work because of sickness or disability",NA,NA,"10.9","26","22"
